year,month,date,incoming,awarded,count_series,bid_to_cover,incoming_perserie,kuasi_changes,bfcius_index,move_index,usyoy_inflation_survey,idyoy_inflation_survey,bbbcorpspread,emusdindex,finstressidx
2013,1,2013-01-01,33.4213,17.5,9,1.909788571,3.713477778,-1.96344,0.560956522,58.95217391,1.6,4.47,1.933333333,94.88873,-0.693675
2013,2,2013-02-01,48.2205,17.5,9,2.755457143,5.357833333,9.79025,0.63125,60.085,1.9,4.81,1.969,95.05895789,-0.655825
2013,3,2013-03-01,23.5422,14.8,9,1.590689189,2.6158,17.12269,0.726571429,57.0837381,1.6,5.56,1.963684211,94.80354444,-0.7058
2013,4,2013-04-01,37.796,15,9,2.519733333,4.199555556,19.29077,0.665636364,52.58597273,1.3,5.66,1.978636364,94.16667273,-0.65998
2013,5,2013-05-01,33.726,20.9,9,1.613684211,3.747333333,28.00484,0.751695652,60.42885652,1.4,5.6,1.9,94.3893,-0.6587
2013,6,2013-06-01,18.0375,5.75,10,3.136956522,1.80375,-37.19549,0.323,89.38304,1.6,6.02,2.117368421,96.71847895,-0.1602
2013,7,2013-07-01,30.7856,20.4,10,1.509098039,3.07856,46.84157,0.445608696,90.97420435,2,8.04,2.120869565,96.66336818,-0.421425
2013,8,2013-08-01,50.21,24,9,2.092083333,5.578888889,-3.59351,0.486772727,88.558,1.6,8.95,2.083888889,97.61136842,-0.37244
2013,9,2013-09-01,58.4257,24,10,2.434404167,5.84257,27.45901,0.489285714,91.4651,1.2,9,2.074761905,97.41971,-0.399475
2013,10,2013-10-01,56.3197,24,10,2.346654167,5.63197,18.77055,0.644434783,72.21103043,1,8.44,2.000952381,96.5852381,-0.50285
2013,11,2013-11-01,34.4892,20,10,1.72446,3.44892,14.73794,0.91947619,66.25858571,1.3,8.45,1.94,97.19119444,-0.63216
2013,12,2013-12-01,10.0675,4,5,2.516875,2.0135,85.42422,0.952454545,69.8685,1.5,8.33,1.818,97.31576842,-0.6192
2014,1,2014-01-01,59.6815,25,9,2.38726,6.631277778,-12.44204,1.018086957,65.43168261,1.6,8.34,1.717,98.12423684,-0.64775
2014,2,2014-02-01,51.7336,27.25,9,1.898480734,5.748177778,8.23114,0.9335,60.366465,1.2,7.93,1.7205,98.66095882,-0.58232
2014,3,2014-03-01,67.5019,25,11,2.700076,6.136536364,14.89396,1.047190476,59.7013381,1.4,7.35,1.661,98.66112222,-0.67065
2014,4,2014-04-01,41.3287,17.9,10,2.308865922,4.13287,39.8706,1.138909091,58.71958182,2,7.25,1.5595,98.124905,-0.673075
2014,5,2014-05-01,46.1898,26.1,16,1.769724138,2.8868625,-3.99489,1.219454545,57.25011364,2,7.3,1.518333333,97.59643529,-0.74378
2014,6,2014-06-01,35.4401,20.35,10,1.741528256,3.54401,49.44638,1.292333333,57.24529048,2.1,6.78,1.451428571,97.70787143,-0.85685
2014,7,2014-07-01,42.0089,28.5,10,1.473996491,4.20089,68.21976,1.222043478,55.10295652,2,4.4,1.441111111,97.39326471,-0.7663
2014,8,2014-08-01,39.622,26.6,10,1.489548872,3.9622,20.17847,1.067952381,58.7964,1.9,4.01,1.513809524,97.90417143,-0.66414
2014,9,2014-09-01,55.3252,25,11,2.213008,5.029563636,32.27867,1.072954545,62.10783182,1.6,4.57,1.511363636,98.59890476,-0.582475
2014,10,2014-10-01,52.7169,19.75,11,2.669210127,4.792445455,24.86706,0.649869565,73.79673913,1.6,4.7,1.656956522,99.75855455,-0.3328
2014,11,2014-11-01,22.657,6.92,3,3.274132948,7.552333333,28.39017,0.91985,67.28462,1.4,6.12,1.749,100.9497556,-0.461175
2014,12,2014-12-01,,,,,,92.86975,0.645565217,68.44007826,0.7,7.93,1.945714286,104.0319476,-0.257175
2015,1,2015-01-01,77.6607,29.3,7,2.650535836,11.09438571,-2.59792,0.318045455,84.25792273,-0.1,7.45,2.0745,104.742055,-0.01826
2015,2,2015-02-01,76.3243,28,7,2.725867857,10.90347143,43.44077,0.5154,93.203815,-0.1,6.7,1.984210526,105.7024294,-0.29855
2015,3,2015-03-01,40.1203,16.75,8,2.395241791,5.0150375,-10.67182,0.535772727,86.47287727,0,6.39,1.823636364,107.0934095,-0.238675
2015,4,2015-04-01,33.1077,23.51,11,1.408239047,3.009790909,21.50211,0.575181818,75.91479091,-0.2,6.8,1.776190476,106.0878,-0.378875
2015,5,2015-05-01,24.8958,19,7,1.310305263,3.556542857,-16.13279,0.578714286,85.41818095,0.1,7.01,1.776111111,106.2889444,-0.37004
2015,6,2015-06-01,65.2878,33,9,1.978418182,7.2542,-2.09494,0.503590909,86.65348182,0.1,7.39,1.868095238,107.2681952,-0.304025
2015,7,2015-07-01,26.4205,15,4,1.761366667,6.605125,37.82129,0.474391304,79.58057391,0.2,7.05,1.98,108.8863316,-0.17632
2015,8,2015-08-01,48.947,27,8,1.812851852,6.118375,9.39738,0.115904762,83.12540476,0.2,7.36,2.1805,112.299585,0.0859
2015,9,2015-09-01,24.8252,15.2,9,1.633236842,2.758355556,31.26459,-0.270454545,82.23599091,-0.1,7,2.246190476,114.095895,0.19245
2015,10,2015-10-01,32.1063,20.55,14,1.562350365,2.293307143,5.30555,0.072409091,74.68349091,0.1,6.38,2.30952381,112.81732,0.12048
2015,11,2015-11-01,31.5354,18,8,1.751966667,3.941925,5.62612,0.274761905,71.40723333,0.4,4.85,2.208571429,113.2985263,-0.03605
2015,12,2015-12-01,18.893,9,5,2.099222222,3.7786,91.23194,-0.018652174,70.23814348,0.8,3,2.356,115.18111,0.2799
2016,1,2016-01-01,51.2092,26,9,1.969584615,5.689911111,-30.96634,-0.518047619,74.13794762,1.3,4.26,2.6145,118.61315,0.59886
2016,2,2016-02-01,59.288,31.3,9,1.894185304,6.587555556,43.9888,-0.675285714,85.76118095,0.9,4.36,2.932,119.0765895,0.692975
2016,3,2016-03-01,64.6997,41.8,14,1.547839713,4.621407143,26.04679,-0.14373913,76.05521739,1,4.5,2.493333333,116.1472,0.129725
2016,4,2016-04-01,56.4421,31.4,10,1.797519108,5.64421,13.82863,-0.018428571,67.55511429,1.1,3.81,2.20047619,114.8381381,0.10064
2016,5,2016-05-01,28.118,16.14,9,1.742131351,3.124222222,18.39803,0.075863636,66.83174091,1.1,3.3,2.0985,116.8142474,0.057275
2016,6,2016-06-01,59.8625,30.9,9,1.937297735,6.651388889,50.36776,-0.156136364,74.73315909,1.1,3.4,2.095909091,117.6835455,0.211375
2016,7,2016-07-01,46.8505,18,5,2.602805556,9.3701,33.37291,0.036095238,71.6172619,0.9,3.37,1.969375,117.5123688,0.13904
2016,8,2016-08-01,82.8443,36,9,2.301230556,9.204922222,14.01343,-0.056956522,66.24522174,1,3.02,1.885909091,116.7647182,0.17995
